Id,User Name,Rating,Review Time,Review Content,Owner Response
1,Scottie “Scot” Weatherup,3,2022-07-04,"Ok place. Ordinary kosher fast food. There are other places around with better taste.  Although there is a TV with the menu and pricing on it , the prices they charge are much higher than shown on TV. Why not update it eventually ?",Sorry to hear that it’s Ordinary for you and as for the price yes it’s a bit higher than the menu we are working on it thank you
2,Daniel Shahrabani,4,2022-07-04,"Very pleasant experience, the food was excellent and the location was very clean. The service was warm and friendly, and would like to go back to try other menu items. My only comment is that I wish the place would have more salad options.",
3,Ray Haley,1,2022-08-08,Very dissatisfied and disappointed. The Malawach was very small and bland. The Tunisian sandwich was horrible and they didn’t rap it properly so when I took it out of the bag it completely fell apart. Don’t recommend this place.,Sorry to hear that but you know sometime the Uber come with a bicycle maybe that’s why next time come to eat inside the restaurant for free of charge 
4,Rachel Sasson,5,2023-01-05,"Thank you amazing service
Owner went to open just to make me a last min special order",Thank you it’s my pleasure 
5,David Nataf,5,2022-07-04,"always fresh, quick service, phone orders always ready on time. An authentic homemade taste in every meal.",Thank you 
6,Ariel Ouaknine,5,2021-07-04,"Amazing food with only good healthy choices
I was in an out in not even five minutes great for a quick lunch break and the staff are really friendly I will definitely be back and I will recommend you to my friends and family",
7,Angela Dara Samel,5,2021-07-04,"Great menu options and prices, amazing hospitality, friendly staffs and food is beyond amazing! Can’t wait to order again!",
8,Hadas Noama,5,2021-07-04,"What a great experience. Staff were kind and welcoming, food was delicious and there’s plenty of parking. I highly recommend this new jewel.",
9,Hadas Noama,5,2021-07-04,Best lunch in a long time. The food was fresh and tasty. Will be back for sure.,
10,Nancy Corcos,5,2022-11-06,Food is very good and prices are good.,Thank you I appreciate 
11,Raphael C,5,2021-07-04,"MUST TRY THE MALOUAH!!
Delicious meal!! Totally recommend if you love cheese egg and olive!! Simply the best and very affordable",Thank you 
12,Lidor Peretz,5,2021-07-04,"Had lunch today it was amazing, everything fresh!!! Definitely recommend! Finally something different!",Thank you 
13,Shimon Shertzer,5,2022-07-04,Was there for the first time today amazing food and very fresh definitely a place to go,Thank you 
14,shimon cohen,5,2021-07-04,"Amazing food amazing customer service, very respectful to the sanitary precautions required .
BEST MALAWACHHH IN THE GAME!!!
Very satisfied , il be back bh bn Thank you !",Thank you 
15,Jeremie Barchichat,5,2021-07-04,"Amazing food, amazing prices lovely staff. All vegeterian definitely delicious!!!",
16,gamer pro call of Duty expert,5,2021-07-04,Amazing fresh food service was exceptional will definitely be back highly recommended 👌 👍 …,Thank you 
17,Jean Younger,5,2021-07-04,Asian salad with crab unbelievable!!! So yummy and fresh!  Great new lunch spot!,Thank you 
18,Jeremie A,5,2021-07-04,Really great and fresh sandwiches and salads. Definitely recommend,Thank you 
19,Shai peretz,5,2021-07-04,Amazing food I loved it every single bite,
20,Natali Noama,5,2021-07-04,Good environment very clean and love the salad I had,
21,Jonathan Beniluz,5,2021-07-04,Best restaurant around fast and easy and great tasting,Thank you 
22,Electric Monk,5,2022-07-04,Always great soup and wrap.,Thank you 
23,y moryoussef,5,2022-07-04,Delicious food! Highly recommend!,Thank you 
24,Eliezer Lallouz,5,2022-07-04,Best service and best poutine in town.,Thank you 
25,Stephane Benalal,5,2022-07-04,Very good food and service,Thank you 
26,Maxim Kuzmenkov,5,2022-07-04,Very Delicious and Very fresh foods,
27,Александр Бурлак,5,2021-07-04,Nice)),
28,Laurent Chocron,4,2022-07-04,No review text provided.,Thank you 
29,Mickey Vincent,5,2022-11-06,No review text provided.,Thank you 
30,Andrea H,2,2022-07-04,No review text provided.,
31,Noah Cohen,5,2022-09-07,No review text provided.,Thank you 
32,Aaron Assaraf,5,2022-07-04,No review text provided.,Thank you 
