ID,Username,Rating,Review Time,Review Content,Owner Response
1,Mimi Mammy,1,2022-06-29,"I can't understand how this school got over 7/10 .. the personal don't give 2 cents about students, cafeteria is literally stealing from students.. charging for utensils... 15d for a burger and fries and you get no condiments..no tomato or lettuce. You take appointments with staff and they don't show up . Teachers disrespect you publicly...humiliate students that don't understand quick enough for them, charge crazy amounts for parking. The only way you'll be happy here is if you're in the sports programs.",
2,Alfiia Kostikina,5,2020-06-29,"I loved every day of my study in this cegep. Friendly atmosphere, good infrastructure, the best professors ever who are, in general, really interested in your success.",
3,v s,2,2019-06-30,"The cafeteria is way overpriced, and they don't seem to even care about their customer. They ask a 60 cent """"""donation"""""" for a plastic fork, and when I told them I don't have change, the cashier just shrugged and said ""sorry""... Like damn I buy your coffee nearly every day and I can't even get a plastic fork?? That's the kind of incidents that make people like this place even less",
4,Reformed Anon,3,2019-06-30,Yo pump'O'King hit me up dude. You seem like a fun person. I can't wait to finish this session.,
5,goji R,5,2022-09-02,Excellent,
6,Joey Evangelista,4,2016-06-30,Have a nice hall,
7,Capitan Nemo,1,2020-06-29,Time wasting.,
8,Rhéa Deyannis,5,2022-12-31,"Mes années au Cegep André-Laurendeau, il y a déjà 10 ans, forment les meilleurs souvenirs de mes années d’études tout entières, incluant mes années à l’université. J’ai adoré ma formation en arts et lettres cinéma, les professeurs ont tous été extraordinaires. J’ai profité d’un échange étudiant en France, à la fin de mes études, j’ai aussi contribué régulièrement au journal étudiant. Je recommande vivement ce Cegep. Je retournerais à ces années pour revivre le tout à nouveau tellement j’ai aimé mon expérience!",
9,Guy-Pascal Arcouette,3,2022-09-02,"Bon établissement d’apprentissage mais un volet manque dans les cours. Celui de la courtoisie. Les étudiants qui prennent l’autobus ne semblent pas avoir appris qu’il faut enlever son sac à dos en entrant dans le bus et le tenir par la poignée en haut ou le déposer sur ses genoux. Aussi,lorsqu’une personne à mobilité réduite a besoin d’une place assise,il faut se lever et céder sa place et surtout,ne pas se glisser pour lui prendre non plus.",
10,Camille Savoie,1,2022-12-01,"Faire un AEC y est devenu pénible, malheureusement. La majorité des enseignants sont en retard, manque de pédagogie et de professionnalisme, tout ou presque est dernière minute, sans parler des nombreux changements d'horaire. Certains cours préalables sont mal enseignées donc nous mettent en retard.",
11,Franky Meno,4,2022-08-03,"J'y ai fait un DEC il y a plus de 20 ans, et
LaSalle peut toujours être fière de son Gégep, lequel n'a rien à envier aux autres établissements collégiaux. C'est drôle comme la plupart des avis négatifs font, en fait, référence à un professeur que des étudiants n'ont pas aimé et ils utilisent les évaluations du cégep comme vitrine pour se soulager de leurs rancunes qu'ils n'ont pas encore digéré.  😁",
12,Sylvie,1,2021-06-29,"Belle architecture, c'est grand et tout propre. C'est drôle comment les employés autres que les professeurs sont plus professionnels. Dans le programme de langues, il y a notamment l'enseignante d'espagnol qui doit se justifier de pourquoi elle est Québécoise et parle espagnol. De plus, elle est totalement arrogante. Elle se pense supérieure et elle rit des gens directement dans leur face sans aucune gêne. Tout comme sa gestuelle, même en attendant l'autobus car elle ne peut pas s'acheter une voiture.😟 N'importe quoi LOL.🤭",
13,Gabriel Levesque,5,2022-12-01,AEC en architecture et construction de bâtiments. Extrêmement satisfait de ma formation. Je recommande fortement!,
14,Daniel Alvarenga,1,2021-06-29,"- Professeurs condescendants et fermés d’esprit face à des opinions contraires aux leurs.
- Cours de littérature médiocres et trop long. Même chose pour les cours de philo.
- Escalier roulant sont toujours brisé.
- Professeurs d’espagnol font de la discrimination - envers ceux qui ont plus de facilité.
- Professeurs de Science Humaine brainwash leurs élèves.
- Employés de l’Administration sont arrogantes et condescendante.",
15,Francois R. Moisan,5,2018-06-30,"J'ai fais tout mon cégep, les professeurs et les programmes technique y sont super.  L'accès y est super facile et le stationnement peu dispendieux.  Il y a un service de garde sympathiques qui facilite les choses lorsque nous avons des enfants.",
16,PumKing,1,2019-06-30,"Si jamais j'ai envie de tuer mon envie de vivre avec une vie étudiante morte, des gens sans opinions et en général un couloir remplis de yeux ternes, Je vais aller faire une semaine d'étude à ce Cégep. Après 3 ans, je peux sans aucuns doutes dire que c'est le pire Cégep dans lequel J'ai mis les pieds.

If I ever feel the need to kill my will to live, this is the place to go. The student community is dead, no one has opinions for themselves and everyone gives off a vibe of depression. 1 week of study Result guaranteed. After 3 years in this dirt hole i can affirmatively say that it's the worst College I've ever stepped in.",
17,Fouad Hajal,4,2019-06-30,"Cafeteria pas pire, bonne place pour passer en spectacle avec les amis, j'y était avec leur fils, mais le cegep est grand est propre, tout le monde était polis et agreable",
18,soleiman sb,1,2020-06-29,"Si tu as marie-pier blanchard comme prof annule tout de suite, c'est du gros nimporte quoi son cours, trop sévère  pour rien et explique mal",
19,James Smith,1,2021-06-29,"Pire école
J'étais un étudiant je fais mon D.E.C et j'ai Jamais trouver un emploi.
Perte de temps",
20,Maxime Desmarais-Laporte,5,2018-06-30,"J'ai fais une technique préuniversitaire en génie physique à cet endroit. Equipe professoral horpaire et équipement de pointe. Bonne ambiance, que du bon.",
21,Rabah Ayadi,5,2020-06-29,"Bonjour, quelqu'un aurait des tuyaux pour l'hébergement  dans le quartier ( appart,colocation,ect) pour l'année prochaine pour un nouveau étudiant?  Merci de votre aide",
22,Jolivette A,1,2019-06-30,Manque de proffessionalisme de la part de certains prof avec absence de neutralite dans leur attitudes.,
23,Dom Sawyer,5,2017-06-30,"De belles et bonnes découvertes, autant du côté des gens rencontrés ici, des activités, de certains cours, certains profs,de plusieurs filles...",
24,Rebecca Dunn,5,2015-07-01,Les profs sont très gentils et la nourriture est bonne.,
25,MartinDew,1,2018-06-30,Sale école pourrie y apprennent le java en informatique.,
26,Ina DIALL,5,2022-06-29,Que du beau monde. Merci à vous et à la fondation.,
27,A guy named GUY,5,2022-06-29,"Guylaine, ferme ton micro la prochaine fois.",
28,Cédric Servay,4,2016-06-30,Bon Cégep avec une belle vie étudiante.,
29,Romuluce Oloukotoun,3,2017-06-30,Je peux avoir le contact email de l'administration pour les contacter vu que je suis hors du Canada,
30,Remarais Etienne,5,2020-06-29,Tres bel environnement d'apprentissage,
31,Francois-Xavier Harbec,5,2015-07-01,J'ai bien aimé mon expérience,
32,Manu chao,3,2018-06-30,No review text provided.,
33,Eric Rousseau,4,2016-06-30,Belle salle de spectacle,
34,ANTONIO MENDOZA,5,2015-07-01,Un endroit extraordinaire...excelent..,
35,Shakil Chowdhury,1,2015-07-01,worst ecole na,
36,Eden Ferreira de Oliveira,4,2013-07-01,Francisation,
37,M Reussite,4,2017-06-30,No review text provided.,
38,N. Castor,4,2016-06-30,No review text provided.,
39,Phaidra Duchastel-Vassaramva,4,2013-07-01,No review text provided.,
40,BONKOUNGOU Wendpouiré Benjamine,2,2016-06-30,No review text provided.,
41,Ariel Clairmont,1,2021-06-29,No review text provided.,
42,Philippe Adrien,3,2022-06-29,No review text provided.,
43,Johane Henrilus,5,2019-06-30,No review text provided.,
44,Abdel Dah,3,2017-06-30,No review text provided.,
45,Haluwa Mayuto,5,2014-07-01,No review text provided.,
46,Mikael Vaillant,5,2015-07-01,No review text provided.,
47,International Sourcing,5,2020-06-29,No review text provided.,
48,Anatoliy Pelykh,5,2018-06-30,No review text provided.,
49,Luis Rodriguez,5,2013-07-01,No review text provided.,
50,Igor Pivovar,5,2016-06-30,No review text provided.,
51,Émile Jetzer (Darwin),5,2018-06-30,No review text provided.,
52,Joël Carpentier,4,2018-06-30,No review text provided.,
53,Joseph Voguel,5,2018-06-30,No review text provided.,
54,mariam maarouf,4,2018-06-30,No review text provided.,
55,Alexandra Guillotte,4,2015-07-01,No review text provided.,
56,Brigitte Hamel,5,2014-07-01,No review text provided.,
57,Анюта Mrs.,5,2020-06-29,No review text provided.,
58,Mathieu Bélisle,5,2022-06-29,No review text provided.,
59,Kattie Casimir,5,2016-06-30,No review text provided.,
60,Elya Ungul,5,2017-06-30,No review text provided.,
61,Erlind Gjoka,1,2023-06-15,No review text provided.,
62,Benoit Julien,5,2016-06-30,No review text provided.,
63,Bubble Tea,5,2018-06-30,No review text provided.,
64,max gong,4,2019-06-30,No review text provided.,
65,Catari Joan,4,2017-06-30,No review text provided.,
66,Cheikh Ahmadou Bamba Seye,5,2016-06-30,No review text provided.,
67,Annie Perreault,5,2017-06-30,No review text provided.,
68,Gabriel Goupil,4,2020-06-29,No review text provided.,
