ID,Username,Rating,Review Time,Review Content,Owner Response
1,Ngayan Kwok,5,2022-09-01,"My daughter has been studying here for over a year, she is very happy every day and she learns a lot.  Even parents can feel that the whole environment is full of love, the teachers' attentive care, the sincerity of all the school staff and the principal to the children, and even feel that they are like our family.  I still remember my daughter coming to Day Care on the first day, the teacher took the initiative to carry her into the classroom, and then dragged her little hand out after class. After a while, my daughter also asked me not to pick her up too early every day.  I am so grateful for everything at Libellules. I’m pretty sure I made a right choice for my daughter.",
2,Nazanin Amirifard,5,2022-09-01,This is an excellent and educational daycare . The manager is very good and the educators are professional and kind. I would like to say a big thank you to Madam Leila. We had to leave Montreal and hope we can find a good daycare like here for our son.,
3,María Gabriela Zurbarán Duque,5,2022-06-28,My daughter has been attending this daycare since she was 8 months. It’s been almost four years and she loves going there and I feel she extremely happy sharing with friends and teachers. She learns a lot everyday. Even she is already fluent in English and French. I highly recommend this daycare!,
4,Nawaf Duoara,5,2022-06-28,"We really loved this place. My daughter was always happy there. She loved the food, the acitivities, the educators, everything! It’s a family business and my daughter felt exactly like that, in family!! The owners are so nice and always finding ways to improve and offer the best possible service. We had to leave this daycare because we moved out of Lasalle, but we miss it so much 😢. We’re really grateful for all the amazing care my daughter received here. I strongly recommend it 100%. Your children will always be in good hands.",
5,lili lu,5,2022-10-31,"My son attended in this daycare since August. Thankfully, I chose LIBELLUTES for him.  He love HERE very much. Even there were CPE contact me said had a space but I just decided to stay here. Libellutes is great and It worth the cost! I can see this daycare very clean and nice. The staff are patient.  Every time I visit, has beautiful and lovely decoration around the space makes we fell they work with heart. We'll be here until preschool or move from LaSalle.",
6,Frankie Luzi,5,2021-06-28,"Our son absolutely loves it here. Started daycare in August of 2020, during a pandemic, and the staff has been exceptional. Such an incredible group of individuals here. Lovely little spot for our son. We enjoy the art work that is always sent home and the photos from the daily activities. Thank you for the hard work and dedication!",
7,Frankie Lin,5,2022-06-28,"Excellent Garderie, my daughter has been in this kindergarten for nearly 3 years, and the staffs has always taken care of her carefully and kindly. She absolutely love here and can't wait to go back every day. It provides bilingual education, and fun indoor or outdoor activities are arranged every week.",
8,Li Li,5,2022-06-28,"My son went to the daycare for 2 years, now he's is now in elementary school. He was well prepared, their program is outstanding from other's daycare (he perfectly know how to write the alphabet at age of 5). Daycare super clean, the educator are qualified and director very flexible to answer any questions.  Thank you for all the good work Les Libellules",
9,Jj Fan,5,2022-08-02,"If I want to name one thing that is good during COVID, that would absolutely be my daughter got to stay in this daycare center, because it was really difficult to get a spot in here pre-COVID. We got a spot because many people stopped sending their children to daycare centers in 2020. I digressed, about this daycare center which I really like, co-owners and educators are treating children with all heart, there are various activities in diversity. Even a top rank of 5-star is not enough to justify my satisfaction level. I already recommended this daycare center to my new neighbor and they are sending their child.",
10,Mila Janson,1,2022-06-28,"Reposting because they had the original comment removed

**************
Friday November 5 I dropped off my daughter. She  was not sick, she wasn’t coughing, no fever, nothing.

My mom went to pick her up that afternoon and
Mind you Nova ALWAYS run out when we go pock her up.

This time they carried her to my mom and the second my mom saw she called and told me Nova was not breathing properly.  You could CLEARLY see her throat and stomach forcing for air.

We took her to the ER and saturation level was at 84-86%!!!  We spent 3 days in the hospital and she still has breathing issues.  The daycare neglected to call me or 911 while my daughter was gasping for air!  Lord knows how long she went struggling for air.

When I went to talk to them yesterday, the director told me and I quote
« oxygen is inside the body we can’t see what’s inside the body »
« We’re not health specialist »
« having inhalers isn’t a big deal people live with it fine »

The was no sence of urgency on their part, they did not look to have an investigation nor to try to see what happen to prevent it from happening…no excuses were made for what happened, they just told me I was looking for trouble.  They just didn’t care and seemed to just want to wash their hands from it.

They also told to got talk to the ladies, but weirdly enough none of them came in this morning","We are extremely saddened to receive this review from someone who not only does not use our services, but is also based on false and incomplete information.

We understand your frustration following the social media posting of a parent that was previously using our services, however, each story has two sides and unfortunately the picture depicted is far away from reality. We have a long and proven track record of going above and beyond for the families that use our services.

We are a family-run small business that have been present for almost five years in our community. We hold the safety, well-being and development of the children in our care. We actually pride ourselves in the service that we give and we are grateful to continue to do so.

As you may be aware, COVID wasn't easy on people and on small businesses, especially private daycares such as ours. We are no exception. This post is not only damaging to our reputation, but it poses a threat to the livelihood of our staff and to the services we provide to the 50+ families.

Therefore, we kindly ask you to reconsider your posting while we are addressing the issues raised with the parent in question. If there are any other issues you want to raise with us, we kindly invite you to email us at garderie.libellules@gmail.com

Thank you wholeheartedly"
