ID,Username,Rating,Review Time,Review Content,Owner Response
1,Sue Trad,5,2022-09-02,Iconic bridge of Montréal. It crosses from Montréal island to south shore over saint Laurence river. At light it has a light show. There are 4 mini Eiffel Towers on top of the bridge given a gift from France for Montréal expos 67,
2,Hiten Rathod,4,2022-08-03,"Having witnessed the Victoria Bridge, wandering in Montreal for local places of interest, passed through the subject bridge.

Another historical bridge of 1930 offering distinct views of the city and surroundings.
Learnt in July and August for some specific days the bridge is only open as walkway to let public enjoy the fireworks 💥 and it’s views.

Enjoy.",
3,Tara Wang,5,2022-08-03,"My favourite bridge in Montreal !!! It's so pretty and attractive at night 😍 In July and August, the bridge is blocked for 2 days a week, only allow people walk on the bridge to enjoy the fireworks festival,  really special and unforgettable experience you'll ever have 🤟 Don't miss it 😜 …",
4,Chintan Raichura,5,2022-06-29,A busy and iconic bridge with a dedicated path for cyclists and pedestrians. It’s a must experience to walk or cycle on this bridge to get some amazing panoramic views of Montreal city! Sunset looks amazing from this bridge and cool breeze of fresh air and turquoise blue waters with some streaks of lighting stars with motorized boats makes it a picture perfect place.,
5,Nikhil,4,2022-06-29,Good place to walk around. Lot of cyclists. Very windy. Decently uphill walk. Great views of the city. Nice green colored bridge structure as well. Go here during daytime and when sunny. Take photos. There are cameras installed too. Be careful of cyclists and those battery operated vehicles.,
6,Georges Younes,4,2021-06-29,"Views of the Jacques-Cartier Bridge are part of the iconic images of Montreal. The best ones are from the Old Port, St Helen's Island, Notre-Dame Street or Rene-Levesque Boulevard. If you are a hiker or a biker, take the walkway/bike path on the bridge to enjoy views of the city and the river.",
7,Hamad Basal Ahmed,5,2023-04-30,Mesmerizing! Built 100 years ago. Hosts 36 million vehicle crossings annually.,
8,Adrian,5,2019-06-30,The bridge over St Lawrence River is lid at night and during summer there can be also fireworks shows. The bridge has a bike trail on one side and a pedestrian path on the other. Nice walk and view to St Helen's Island and the JD park.,
9,Austin Trinh,5,2020-06-29,"On our last night in Montreal, we were able to enjoy the opening night of the 2019 International Fireworks Competition. We opted to view the spectacle from atop the Jacques Cartier Bridge. While there were a great deal of people, the bridge is huge and easily accommodated everyone with ease. There are also lights that illuminate the bridge itself and this was nice to watch before and after the fireworks show. Enjoy the photos (all rights reserved).",
10,Yizu Lulu Yeh,5,2018-06-30,Pont Jacque-cartier de Montreal. A popular background for tourists taking pictures from Jacque-cartier pier at Vieux port de Montreal. Very romantic and is a truss cantilever bridge crossing St Lawrence river. 334m long not hard for runners - should be fun to run across if possible!,
11,Ольга Демидова,5,2019-06-30,"Beautiful bridge, but a bit too long :). Beware of cyclists if you are walking",
12,Naima,4,2022-06-29,"The Jacques Cartier bridge is the symbol of Montreal.
This bridge allows people to cross the Saint Lawrence River from Montreal Island to the south shore.
The bridge crosses Saint Helen's Island in the centre of the river, where off-ramps allow access to the amusement park La Ronde and the Parc Jean-Drapeau.",
13,Chelsea Allen,5,2022-12-01,"I like to refer to this as ""my bridge"" (I pay taxes don't I? So some of it's mine;) Since they put the lights on this it is so beautiful I always enjoy driving across and love to watch the light shows. Been up there many times to watch fireworks from La Ronde as well. Good view.",
14,sachin Jassal,5,2023-06-22,"its pretty attractive at night, its amazing",
15,Simon Sunatori,5,2022-10-02,"This is a fascinating bridge.  An engineering marvel.  I love this bridge a lot.  First time a few decades ago, it was a toll bridge, so I had to throw a quarter into a basket every time I drove my car on the bridge.  The toll is gone, thank God.",
16,MY Mulla,5,2019-06-30,We walked across the bridge.  It was fun. Around 13500 steps.  Nice view of Montreal.  The cars noise was not an issue at all. A must visit when in Montreal..,
17,Mathieu Del Papa,5,2018-06-30,"It's Montreal's, it's our baby. Jacques Cartier looks beautiful all light up and gives Montreal somewhat of an identity. Yes we have the Olympic Stadium, but that's nothing compared to a beautiful bridge!

Everyone has a right to their opinion of course, personally, I love the lights!",
18,Karol Jastrzębowski,4,2022-10-02,"Incredible structure, with a great view over the city, and St. Lawrence river. Gives a good access to Jean-Drapeau park. Accesible on foot and on bike. Has a pretty strong exposure to heights, with good safety protection, still persons with fear of heights may feel uncomfortable.",
19,Obed Matul,5,2020-06-29,Beautiful bridge at night. Once it’s lit up it’s amazing for pictures taking. We went to the port and photographed it and it’s so amazing.,
20,Minal C.,5,2020-06-29,"It's a beautiful bridge. At night they are lit up, it's really pretty. It takes you from downtown Montreal to Longeuil.",
21,Ali Khatibi,4,2018-06-30,It is normally crowded...one of the best places to watch Montreal fireworks.,
22,Guillaume Militello,5,2019-06-30,"Can be easily crossed by car or bike, a nice way to go to Jean-Drapeau by bixi. There is a little area in the middle where you can stop and take pictures of the view of Montreal.",
23,Denis Samoylov,5,2022-08-03,"Breathtaking views of the city, and a great biking path for those enjoying the views.
Walking might feel a bit cramped and has to be exercised with care given how narrow the path shared with bikers is.",
24,Mari Celi Burgueño Caballero,4,2022-10-02,Great views for the skyline of old port and old Montreal.,
