ID,Username,Rating,Review Time,Review Content,Owner Response
1,Et si,5,2023-04-29,"Great uni! Great profs (not all of them as in every uni), great opportunities. Still a young university but has a lot of potential and can compete with the best unis in Canada in several fields (business, cs etc…).",
2,A,1,2023-05-29,"Coming from mcgill …. Concordia has no advisor… they say they do but they are impossible to reach and once you reach them they refer you to the online systems…… and are of no help

They barely have online courses…I took one 1.5 credit online this summer but has a mandatory 1 h per week in class…. So I have to drive 300km for that 1 h period every week.   ….. they would need to redefine online…

No help whatsoever for students and they are impossible to reason!",
3,JE Jean,1,2023-01-29,"As a student in the early 2000’s this was a great place to study. As a recent employee, my experience was terrible. I worked for the faculty of engineering and the people they have managing the staff are pathetic. They like to throw around all the buzz words that make it seem like they care about staff but they’re two-faced, shameless liars. The union is useless- they say « we know the management is underhanded but there’s nothing we can do » and the Academics in charge couldn’t care less. Worst management I’ve seen in my extensive experience in the workforce. My advice is: don’t leave a job to work in the engineering department.",
4,Bikram Lehar,1,2023-01-29,i have completed my masters and the only positive thing about the university is access to library and udemy courses rest is all worthless. so i spent 40 k in 1.5 years but it will help me getting a 3 year pgwork permit and 15 more points to my crs score. Thats it. not worth the time or money. Bad deal,
5,lisa oz,1,2023-03-30,"Concordia University most of student get depression due to you prefer keep student pay turing fees without graduation !!!!!

Many student failed as same  subject due too very difficulty
due too many  hard questions during  Midterm and exam  period and the last final exam!!!!!!!!!!!!
Not recommend it 0 star  Bad teacher and administrative",
6,Valiri Saati,2,2023-01-29,"People deserve to know about how leftist radicals and conservative extremists are mishandling our public schools (Student union rigged elections, Marxism, fascism, Satanism through the Freemasons and Illuminati) Centrism could boost this 2-3 star school to a 4 or 5 star as the hidden curriculum within caused by corruption is hurting a lot of students. You could thug through in less politicized programs such as engineering but the point is that all programs should be under strict reform and ready to adapt international norms regarding Centrism like Russia, that is excelling at mixing science and religion together validly. Take for instance the political line. Since it takes into account all logic, therefore Centrism is part of that in the center and has validity as well as a lot of value and divine knowledge.",
7,abdullah tahan,1,2023-05-29,The university should pay more attention about the master degree finals many drs trying to challenge their students with exams that are way far from reality !,
8,Rolanda Simth,1,2023-03-30,"Even not consider university specially  biochemistry ,90% bad teacher -Disorganize admirative !!Prefer student not successful to stay paying tuition fees they broken all the rules
They student failed three or more time same subject while other university they support student teacher work side to side with students 0 Recommend it -(bad ) ,",
9,Angelica,2,2023-01-29,"If you need any career guidance, information on graduate programs, prerequisites, or requirements you will never get the necessary information. The program advisors for the faculty of arts and science are the worst. They do not follow up with you, they will never answer your calls, voicemails, or emails, and every advisor will tell you something different. You'll receive a never ending list of extension numbers to call with no answers to your questions.",
10,Desmond Yu,4,2022-09-01,"This is a practical university for the practical students. Set a carrier goal, a hard working and serious student will definitely get a targeted or over target result. Just be serious, anything a university student needed are there, just waiting for the right student to get into the door and walk out with a smiling face.",
11,J-Y Lee,1,2023-03-30,"BEWARE
Very bad and old schedule builder, poor assistance, indifferent administration, woke professors, witchcraft practiced within class, racist against specific group, sexist against specific gender and they make you pay extra fee with their TRAP classes like fall/winter class if you don't drop it on sept1...
AVOID this university.",
12,kunal rakshit,4,2019-06-29,"The Halloween party at Concordia was quite enjoyable. A great combination of people, songs and dance made the evening memorable.",
13,Wing Yau,1,2022-11-30,"Seriously ??? this school literally called his former student asking for donation of $120 in the name of alumni funding (they started the call with confirming your latest Information: phone, email, address etc, before bringing up donation), I said I need to read about why, said would call me the next day to confirm... Excuse me??? is it donation or blackmailing ???",
14,Ana Van K,1,2023-02-28,"I wish I could give less than 1 Star…
Keep your money and do a trade instead. Lots of favouritism and teachers don’t help you at all.",
15,carolien Lauren,1,2023-03-30,"Concordia University most of student get depression due to you prefer keep student pay turing fees without graduation !!!!!

Many student failed as same  subject due too very difficulty
due too many  hard questions during  Midterm and exam  period and the last final exam.
Not recommend it 0 star

Generally  Disorganized university specially for Biochemistry at Loyola camps,Bad schedules that ends late at night like night schools.(How student can study and graduated ??

How students handle bad time at night specially for the (Lab).
I have been in concordia since 2019 at loyola Camps I rarely find morning labs, which makes it hard to study since  I start early then back late to home for
Fall semester 2023  (horrible).
Lab should be at morning time ,than Evening time.Isnt' logical at all ,to finish night at 10 .pm, arrive home 11.30 p.m.
Hope we get solation soon😥😥😥 Not recommended  0 star",
